Langue,Extension,Code,Nom de la carte,Rareté,1st Edition,Unlimited,Limited / Autre,Quantité,N° Artwork,Reprint
Français (France),ALIN,ALIN-FR047,"Chasma, Maître Dragon des Aurores",SCR,NM,,,2,,
Français (France),ALIN,ALIN-FR048,"Eclipse, Maître Dragon des Catastrophes",U,NM,,,1,,
Français (France),ALIN,ALIN-FR049,"Disaster, Maître Dragon de Toutes les Apocalypses",U,NM,,,1,,
Français (France),ALIN,ALIN-FR049,"Disaster, Maître Dragon de Toutes les Apocalypses",U,NM,,,1,,
Français (France),ALIN,ALIN-FR050,Sabresaure Fulminant,C,NM,,,15,,
Français (France),ALIN,ALIN-FR052,Evil★Jumelle Ki-sikil Transaction,SR,NM,,,1,,
Français (France),ALIN,ALIN-FR052,Evil★Jumelle Ki-sikil Transaction,SR,NM,,,3,,
Français (France),ALIN,ALIN-FR053,"Dogurad, le Soldat de Pierre",C,NM,,,13,,
Français (France),ALIN,ALIN-FR054,Connexion A.I.,SR,NM,,,3,,
Français (France),ALIN,ALIN-FR055,Monde des Esprits,SR,NM,,,3,,
Français (France),ALIN,ALIN-FR056,Flash Héraldique,SR,NM,,,2,,
Français (France),ALIN,ALIN-FR057,Filia Diabell,C,NM,,,13,,
Français (France),ALIN,ALIN-FR060,Code de la Regenèse,SR,NM,,,4,,
Français (France),ALIN,ALIN-FR061,Ici Sont des Dragons,C,NM,,,12,,
Français (France),ALIN,ALIN-FR062,Argostars - Tueur de Géants,SR,NM,,,3,,
Français (France),ALIN,ALIN-FR063,Transperdrement Matériacteur,C,NM,,,12,,
Français (France),ALIN,ALIN-FR064,Maliss dans le Miroir,SR,NM,,,3,,
Français (France),ALIN,ALIN-FR065,Réanimateur des Crânes Serviteurs,C,NM,,,11,,
Français (France),ALIN,ALIN-FR066,Trancheur Gordien,SCR,NM,,,1,,
Français (France),ALIN,ALIN-FR067,Éléments Chaotiques,C,NM,,,11,,
Français (France),ALIN,ALIN-FR068,Allons-Y Ensemble,C,NM,,,12,,
Français (France),ALIN,ALIN-FR069,Coup des Sept Étoiles - Hagun Anéantisseur d'Armée,C,NM,,,9,,
Français (France),ALIN,ALIN-FR070,PartenA.I.re,C,NM,,,11,,
Français (France),ALIN,ALIN-FR071,Ensoleillement Éternel,C,NM,,,11,,
Français (France),ALIN,ALIN-FR072,Malédiction de Diabell,C,NM,,,13,,
Français (France),ALIN,ALIN-FR073,Sanctification du Butin du Péché,C,NM,,,13,,
Français (France),ALIN,ALIN-FR074,Naissance de la Regenèse,C,NM,,,11,,
Français (France),ALIN,ALIN-FR075,Catapulte Électromagnétique Ryzéal,C,NM,,,12,,
Français (France),ALIN,ALIN-FR076,Fin Ryu-Ge,C,NM,,,14,,
Français (France),ALIN,ALIN-FR077,Surnalixir de la Glorieuse Terre d'Or,SR,NM,,,5,,
Français (France),ALIN,ALIN-FR078,Chants des Dominateurs,SCR,NM,,,1,,
Français (France),ALIN,ALIN-FR079,Mentalité du Dragon,C,NM,,,13,,
Français (France),ALIN,ALIN-FR081,Ange de l'Aube Kambi,C,NM,,,15,,
Français (France),ALIN,ALIN-FR082,Hrimnir la Disciple Divine,C,NM,,,12,,
Français (France),ALIN,ALIN-FR083,Bénédiction de Vingólf,C,NM,,,13,,
Français (France),ALIN,ALIN-FR084,Banc d'Aspis,C,NM,,,11,,
Français (France),ALIN,ALIN-FR085,Poisson-Coffre Toxique,SR,NM,,,1,,
Français (France),ALIN,ALIN-FR086,Poisson et Offres,C,NM,,,14,,
Français (France),ALIN,ALIN-FR087,Réplicarte NAD,SR,NM,,,2,,
Français (France),ALIN,ALIN-FR088,Sakra Vendirage,SR,NM,,,5,,
Français (France),ALIN,ALIN-FR089,Paix Tiki,C,NM,,,16,,
Français (France),ALIN,ALIN-FR090,"Mitsurugi no Mikoto, Aramasa",SR,NM,,,6,,
Français (France),ALIN,ALIN-FR091,"Mitsurugi no Miko, Wousu",C,NM,,,18,,
Français (France),ALIN,ALIN-FR092,Ame no Habakiri no Mitsurugi,SR,NM,,,4,,
Français (France),ALIN,ALIN-FR093,Miroir Mitsurugi,C,NM,,,14,,
Français (France),ALIN,ALIN-FR094,Magatama Mitsurugi,SR,NM,,,2,,
Français (France),ALIN,ALIN-FR095,Limite Sacrée Mitsurugi,C,NM,,,18,,
Français (France),ALIN,ALIN-FR096,Tempête Mitsurugi,C,NM,,,14,,
Français (France),ALIN,ALIN-FR097,Dipité,C,NM,,,12,,
Français (France),ALIN,ALIN-FR098,Épieuvre de Maïs Géante,C,NM,,,11,,
Français (France),ALIN,ALIN-FR099,Zereort Migrateur,C,NM,,,3,,
Français (France),ALIN,ALIN-FR100,Dragolithia Kunzite,SR,NM,,,3,,
Anglais (Monde),TKN5,TKN5-EN023,Token,SR,NM,,,1,,
Anglais (Monde),TKN5,TKN5-EN025,Token,SR,NM,,,1,,
Français (France),OP28,OP28-FR001,Dragon Blanc aux Yeux Bleus,UTR,,NM,,1,,
Français (France),OP28,OP28-FR002,Chambre Dragonirène,UTR,,NM,,1,,
Français (France),OP28,OP28-FR003,Azamina Ilia Silvia,UTR,,NM,,1,,
Français (France),OP28,OP28-FR004,Lucius le Vassal des Ombres,SR,NM,,,2,,
Français (France),OP28,OP28-FR005,Silvy de la Forêt Blanche,SR,NM,,,2,,
Français (France),OP28,OP28-FR006,Tête Action-Y,SR,NM,,,2,,
Français (France),OP28,OP28-FR007,Tank Zillion-Z,SR,,NM,,1,,
Français (France),OP28,OP28-FR008,Dragon Sourcétoile Khaos,SR,,NM,,1,,
Français (France),OP28,OP28-FR009,Lézardose Exténué,SR,NM,,,1,,
Français (France),OP28,OP28-FR010,Fusion Mémentotlaine,SR,NM,,,1,,
Français (France),OP28,OP28-FR011,Virus Polluant Planétaire,SR,,NM,,1,,
Français (France),OP28,OP28-FR012,Métalmorphe Max,SR,NM,,,2,,
Français (France),OP28,OP28-FR013,Kuribon,C,NM,,,2,,
Français (France),OP28,OP28-FR014,"Amphisbène, Bête Héraldique",C,NM,,,2,,
Français (France),OP28,OP28-FR015,Thestalos le Méga Monarque,C,NM,,,1,,
Français (France),OP28,OP28-FR016,Zaborg le Méga Monarque,C,NM,,,1,,
Français (France),OP28,OP28-FR017,Marte Jaune Clair de Lune,C,NM,,,3,,
Français (France),OP28,OP28-FR018,Pikari @Ignister,C,,NM,,1,,
Français (France),OP28,OP28-FR019,Achichi @Ignister,C,NM,,,2,,
Français (France),OP28,OP28-FR020,Danseuse aux Épées Clair de Lune,C,NM,,,2,,
Français (France),OP28,OP28-FR021,Numéro 18 : Patriarche Héraldique,C,,NM,,1,,
Français (France),OP28,OP28-FR022,Contrôle Cérébral,C,NM,,,1,,
Français (France),OP28,OP28-FR023,Augmentation Héraldique,C,NM,,,3,,
Français (France),OP28,OP28-FR024,Fusion Clair de Lune,C,,NM,,1,,
Français (France),OP28,OP28-FR025,Ignister A.I.Land,C,NM,,,2,,
Français (France),OP28,OP28-FR026,Oh Requ!n !,C,NM,,,1,,
Français (France),OP28,OP28-FR027,Jeton Crystron,SR,NM,,,1,,
Français (France),DUAD,DUAD-FR001,Chevalier Zubababa,SR,NM,,,2,,
Français (France),DUAD,DUAD-FR002,Chevalier Ganbara Gagaga,SR,NM,,,1,,
Français (France),DUAD,DUAD-FR003,Gobelindbergh Gogogo,SR,NM,,,2,,
Français (France),DUAD,DUAD-FR004,Guerrier Dodododo,U,NM,,,1,,
Français (France),DUAD,DUAD-FR006,Chienne de Meute Argentée de Clair de Lune,C,NM,,,3,,
Français (France),DUAD,DUAD-FR007,Lienassassin @Ignister,C,NM,,,4,,
Français (France),DUAD,DUAD-FR008,Medius le Pur,U,NM,,,1,,
Français (France),DUAD,DUAD-FR011,Litera Artmage,SR,NM,,,1,,
Français (France),DUAD,DUAD-FR012,Mécène du Pouvoir Artmage,C,NM,,,4,,
Français (France),DUAD,DUAD-FR013,Fille Psychique de la Sérénité,C,NM,,,4,,
Français (France),DUAD,DUAD-FR014,Ministre Psychique du Calme,C,NM,,,6,,
Français (France),DUAD,DUAD-FR015,Procédure Mentale,SR,NM,,,2,,
Français (France),DUAD,DUAD-FR016,Artilleur Prototype Psychique,C,NM,,,6,,
Français (France),DUAD,DUAD-FR018,"Tessera, l'Écuyer Primitif",SR,NM,,,1,,
Français (France),DUAD,DUAD-FR019,Spadassin du Flamboiement des Ténèbres,C,NM,,,6,,
Français (France),DUAD,DUAD-FR020,Dragon du Miasme Tistina,C,NM,,,4,,
Français (France),DUAD,DUAD-FR022,Âme du Vainqueur Hollie Sue,U,NM,,,1,,
Français (France),DUAD,DUAD-FR023,Chef de Nouvelles,C,NM,,,6,,
Français (France),DUAD,DUAD-FR024,Fée Zetan Super Quantique,C,NM,,,5,,
Français (France),DUAD,DUAD-FR025,Force Black Super Quantum,C,NM,,,8,,
Français (France),DUAD,DUAD-FR026,Morgana la Sorcière des Yeux,SR,NM,,,2,,
Français (France),DUAD,DUAD-FR027,"Léo, le Sorcier Démon des Ténèbres",C,NM,,,5,,
Français (France),DUAD,DUAD-FR028,TASSE DE RÉVEIL ! Moka,C,NM,,,5,,
Français (France),DUAD,DUAD-FR029,Burger Énervé,C,NM,,,6,,
Français (France),DUAD,DUAD-FR030,Ligre Danseuse de Clair de Lune,SR,NM,,,2,,
Français (France),DUAD,DUAD-FR031,Parfum Danseuse de Clair de Lune,SR,NM,,,2,,
Français (France),DUAD,DUAD-FR032,Diactorus Artmage,SCR,NM,,,1,,
Français (France),DUAD,DUAD-FR033,Nerva la Mécène du Pouvoir de la Création,SCR,NM,,,1,,
Français (France),DUAD,DUAD-FR034,Démon Absolu Kinésique,C,NM,,,4,,
Français (France),DUAD,DUAD-FR036,Premier des Seigneurs Dragon,SR,NM,,,1,,
Français (France),DUAD,DUAD-FR037,Dragon Sacretérion,U,NM,,,1,,
Français (France),DUAD,DUAD-FR038,Mage Psychique du Silence,SR,NM,,,2,,
Français (France),DUAD,DUAD-FR039,Archdémon Croix-Cérébral,C,NM,,,5,,
Français (France),DUAD,DUAD-FR040,Artilleur Psychique Mk-II,SR,NM,,,1,,
Français (France),DUAD,DUAD-FR041,LE Hamster de l'Étoile,C,NM,,,4,,
Français (France),DUAD,DUAD-FR042,Numéro F0 : Futur Utopique Zexal,U,NM,,,1,,
Français (France),DUAD,DUAD-FR044,Champion Héroïque - Excalibur Magnum,C,NM,,,4,,
Français (France),DUAD,DUAD-FR045,Argostars - Aventureuse Arion,U,NM,,,2,,
Français (France),DUAD,DUAD-FR046,Âme du Vainqueur Rocks,SR,NM,,,2,,
Français (France),DUAD,DUAD-FR047,"Flot Gaïa, Force Gracieuse",C,NM,,,5,,
Français (France),DUAD,DUAD-FR048,"Vallon, le Chasse-Ciel Super Psy",C,NM,,,4,,
Français (France),DUAD,DUAD-FR049,Assaut de l'Air - As = Zéro,SCR,NM,,,1,,
Français (France),DUAD,DUAD-FR051,Ukanomitsune-no-Onari,C,NM,,,5,,
Français (France),DUAD,DUAD-FR052,Tactiques Utopiques Gagaga,SR,NM,,,1,,
Français (France),DUAD,DUAD-FR053,Mascarade de Clair de Lune,C,NM,,,5,,
Français (France),DUAD,DUAD-FR055,Théoréalisation,C,NM,,,5,,
Français (France),DUAD,DUAD-FR056,Chef-d'Oeuvre Artmage -Succession-,C,NM,,,5,,
Français (France),DUAD,DUAD-FR057,Vandalisme Artmage -Agression-,C,NM,,,4,,
Français (France),DUAD,DUAD-FR058,Vernis Artmage -Altération-,U,NM,,,1,,
Français (France),DUAD,DUAD-FR060,Fusion de Téléportation,C,NM,,,5,,
Français (France),DUAD,DUAD-FR061,Le Plan des Monarques,C,NM,,,4,,
Français (France),DUAD,DUAD-FR062,La Révolte des Monarques,SR,NM,,,2,,
Français (France),DUAD,DUAD-FR063,Cycle de la Regenèse,C,NM,,,5,,
Français (France),DUAD,DUAD-FR064,Inferno du Cendré,C,NM,,,4,,
Français (France),DUAD,DUAD-FR065,Fusion Primite,SR,NM,,,1,,
Français (France),DUAD,DUAD-FR066,"Âme du Vainqueur, Go !",C,NM,,,6,,
Français (France),DUAD,DUAD-FR067,"Livre de Recettes Nouvelles ""Recettes de Nouvellez""",C,NM,,,5,,
Français (France),DUAD,DUAD-FR068,"Force 19 ""Incursion Soudaine ! Black Super Quantum !""",C,NM,,,3,,
Français (France),DUAD,DUAD-FR069,Assaut de l'Air - Manoeuvre Spéciale - Portail Lemniscate !,U,NM,,,1,,
Français (France),DUAD,DUAD-FR070,Morganite de la Culpabilité Agrippante,SR,NM,,,2,,
Français (France),DUAD,DUAD-FR071,Retour du Duelliste,C,NM,,,3,,
Français (France),DUAD,DUAD-FR072,Marais du Tonnerre Soudain,C,NM,,,3,,
Français (France),DUAD,DUAD-FR073,Printemps,C,NM,,,6,,
Français (France),DUAD,DUAD-FR074,Barrière Xyz Incassable,C,NM,,,5,,
Français (France),DUAD,DUAD-FR075,Pacte Artmage -Éveil-,C,NM,,,4,,
Français (France),DUAD,DUAD-FR076,Perfection du Monarque,SR,NM,,,1,,
Français (France),DUAD,DUAD-FR077,Commandements de la Regenèse,C,NM,,,3,,
Français (France),DUAD,DUAD-FR078,Accro aux Pièges,U,NM,,,1,,
Français (France),DUAD,DUAD-FR079,Erreur de Livraison,C,NM,,,6,,
Français (France),DUAD,DUAD-FR080,Braconnier d'Esprits,C,NM,,,5,,
Français (France),DUAD,DUAD-FR081,Buio la Lumière de l'Aube,C,NM,,,5,,
Français (France),DUAD,DUAD-FR082,Luce les Ténèbres du Crépuscule,SR,NM,,,3,,
Français (France),DUAD,DUAD-FR083,Mutinerie Céleste,C,NM,,,4,,
Français (France),DUAD,DUAD-FR084,Corbeau du Miracle,C,NM,,,3,,
Français (France),DUAD,DUAD-FR084,Corbeau du Miracle,C,NM,,,3,,
Français (France),DUAD,DUAD-FR085,ASHLAN U1000,C,NM,,,3,,
Français (France),DUAD,DUAD-FR086,Préparatifs des Rites,SR,NM,,,1,,
Français (France),DUAD,DUAD-FR087,Sacrifice à Cordes d'Acier,C,NM,,,3,,
Français (France),DUAD,DUAD-FR088,Mise Xyz,C,NM,,,5,,
Français (France),DUAD,DUAD-FR089,Omnidestructeur Psychique,C,NM,,,6,,
Français (France),DUAD,DUAD-FR090,Foreuse Ga10 R.B.,SR,NM,,,3,,
Français (France),DUAD,DUAD-FR091,Scie Ga10 R.B.,SR,NM,,,3,,
Français (France),DUAD,DUAD-FR092,Fusée VALCan R.B.,SR,NM,,,2,,
Français (France),DUAD,DUAD-FR094,La Brute du Blues R.B.,STR,NM,,,1,,
Français (France),DUAD,DUAD-FR095,Amarrage Funky R.B.,SR,NM,,,2,,
Français (France),DUAD,DUAD-FR096,Débarquement sur Scène R.B.,SCR,NM,,,1,,
Français (France),DUAD,DUAD-FR097,Drakonien de Guerre Galactique,SR,NM,,,4,,
Français (France),DUAD,DUAD-FR098,Ukanomitsune-no-Tamayura,C,NM,,,5,,
Français (France),DUAD,DUAD-FR099,Magicien Lunaire,C,NM,,,5,,
Français (France),DUAD,DUAD-FR100,Protecteur Lunaire,C,NM,,,5,,
Anglais (Monde),JUSH,JUSH-EN001,Dracotail Lukias,U,NM,,,1,,
Français (France),JUSH,JUSH-FR003,Pan Queudragon,R,NM,,,3,,
Français (France),JUSH,JUSH-FR003,Pan Queudragon,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR003,Pan Queudragon,R,NM,,,2,,
Français (France),JUSH,JUSH-FR004,Urgula Queudragon,R,NM,,,2,,
Français (France),JUSH,JUSH-FR004,Urgula Queudragon,R,NM,,,3,,
Français (France),JUSH,JUSH-FR005,Mululu Queudragon,U,NM,,,1,,
Français (France),JUSH,JUSH-FR006,Arthalion Queudragon,U,NM,,,1,,
Français (France),JUSH,JUSH-FR006,Arthalion Queudragon,COL,NM,,,1,,
Français (France),JUSH,JUSH-FR007,Gulamel Queudragon,R,NM,,,3,,
Français (France),JUSH,JUSH-FR007,Gulamel Queudragon,R,NM,,,2,,
Français (France),JUSH,JUSH-FR007,Gulamel Queudragon,R,NM,,,1,,
Français (France),JUSH,JUSH-FR008,Queudragon Ketu,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR008,Queudragon Ketu,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR009,Queudragon Rahu,SR,NM,,,2,,
Français (France),JUSH,JUSH-FR010,Corne Queudragon,R,NM,,,2,,
Français (France),JUSH,JUSH-FR010,Corne Queudragon,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR010,Corne Queudragon,R,NM,,,2,,
Français (France),JUSH,JUSH-FR011,Flamme Queudragon,R,NM,,,3,,
Français (France),JUSH,JUSH-FR011,Flamme Queudragon,R,NM,,,2,,
Français (France),JUSH,JUSH-FR011,Flamme Queudragon,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR012,Chaîne du Lutin Tranchant,R,NM,,,1,,
Français (France),JUSH,JUSH-FR012,Chaîne du Lutin Tranchant,R,NM,,,3,,
Français (France),JUSH,JUSH-FR013,Mystérion le Dragon Couronne,R,NM,,,3,,
Français (France),JUSH,JUSH-FR013,Mystérion le Dragon Couronne,R,NM,,,3,,
Français (France),JUSH,JUSH-FR014,Polymérisation,R,NM,,,3,,
Français (France),JUSH,JUSH-FR014,Polymérisation,R,NM,,,2,,
Français (France),JUSH,JUSH-FR015,Patchwork Frourreur,R,NM,,,2,,
Français (France),JUSH,JUSH-FR015,Patchwork Frourreur,R,NM,,,3,,
Français (France),JUSH,JUSH-FR016,Coupy☆Miammy,U,NM,,,3,,
Français (France),JUSH,JUSH-FR016,Coupy☆Miammy,U,NM,,,1,,
Français (France),JUSH,JUSH-FR016,Coupy☆Miammy,COL,NM,,,1,,
Français (France),JUSH,JUSH-FR017,Cooky☆Miammy,U,NM,,,1,,
Français (France),JUSH,JUSH-FR017,Cooky☆Miammy,U,NM,,,1,,
Français (France),JUSH,JUSH-FR017,Cooky☆Miammy,U,NM,,,3,,
Français (France),JUSH,JUSH-FR018,Sucetty☆Miammy,COL,NM,,,1,,
Français (France),JUSH,JUSH-FR019,Coupy★Voie du Miammy,R,NM,,,1,,
Français (France),JUSH,JUSH-FR019,Coupy★Voie du Miammy,R,NM,,,2,,
Français (France),JUSH,JUSH-FR019,Coupy★Voie du Miammy,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR019,Coupy★Voie du Miammy,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR020,Cooky★Voie du Miammy,R,NM,,,2,,
Français (France),JUSH,JUSH-FR020,Cooky★Voie du Miammy,R,NM,,,2,,
Français (France),JUSH,JUSH-FR020,Cooky★Voie du Miammy,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR020,Cooky★Voie du Miammy,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR021,Sucetty★Voie du Miammy,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR021,Sucetty★Voie du Miammy,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR021,Sucetty★Voie du Miammy,R,NM,,,2,,
Français (France),JUSH,JUSH-FR021,Sucetty★Voie du Miammy,R,NM,,,3,,
Français (France),JUSH,JUSH-FR022,Miammy★Attrapy,U,NM,,,1,,
Français (France),JUSH,JUSH-FR022,Miammy★Attrapy,U,NM,,,3,,
Français (France),JUSH,JUSH-FR023,Miammyusement☆Mignon,R,NM,,,1,,
Français (France),JUSH,JUSH-FR023,Miammyusement☆Mignon,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR023,Miammyusement☆Mignon,R,NM,,,3,,
Français (France),JUSH,JUSH-FR023,Miammyusement☆Mignon,SR,NM,,,2,,
Français (France),JUSH,JUSH-FR024,Miammyusement★Àcroquey,R,NM,,,1,,
Français (France),JUSH,JUSH-FR024,Miammyusement★Àcroquey,R,NM,,,2,,
Français (France),JUSH,JUSH-FR024,Miammyusement★Àcroquey,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR024,Miammyusement★Àcroquey,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR025,Miammy☆Surprise,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR025,Miammy☆Surprise,SR,NM,,,2,,
Français (France),JUSH,JUSH-FR026,Miammy★Rédemption,R,NM,,,3,,
Français (France),JUSH,JUSH-FR026,Miammy★Rédemption,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR026,Miammy★Rédemption,R,NM,,,1,,
Français (France),JUSH,JUSH-FR027,Contrôleur de la Pesanteur,R,NM,,,2,,
Français (France),JUSH,JUSH-FR027,Contrôleur de la Pesanteur,R,NM,,,3,,
Français (France),JUSH,JUSH-FR028,Woùf es-tu ?,R,NM,,,3,,
Français (France),JUSH,JUSH-FR029,Obéissance Scolarisée,R,NM,,,1,,
Français (France),JUSH,JUSH-FR029,Obéissance Scolarisée,R,NM,,,3,,
Français (France),JUSH,JUSH-FR030,Carte de Piri Reis,R,NM,,,1,,
Français (France),JUSH,JUSH-FR030,Carte de Piri Reis,R,NM,,,3,,
Français (France),JUSH,JUSH-FR031,K9-17 Izuna,U,NM,,,1,,
Français (France),JUSH,JUSH-FR032,K9-66a Jokul,SR,NM,,,3,,
Français (France),JUSH,JUSH-FR033,K9-66b Lanterne,SR,NM,,,3,,
Français (France),JUSH,JUSH-FR033,K9-66b Lanterne,SR,NM,,,2,,
Français (France),JUSH,JUSH-FR034,K9-ØØ Lupis,COL,NM,,,1,,
Français (France),JUSH,JUSH-FR034,K9-ØØ Lupis,U,NM,,,1,,
Français (France),JUSH,JUSH-FR035,"K9-17 ""Éventreuse""",SR,NM,,,2,,
Français (France),JUSH,JUSH-FR035,"K9-17 ""Éventreuse""",SR,NM,,,2,,
Français (France),JUSH,JUSH-FR036,"K9-ØØ ""Chien de Meute""",R,NM,,,1,,
Français (France),JUSH,JUSH-FR036,"K9-ØØ ""Chien de Meute""",R,NM,,,3,,
Français (France),JUSH,JUSH-FR037,"K9-X ""Loup-Garou""",SR,NM,,,1,,
Français (France),JUSH,JUSH-FR037,"K9-X ""Loup-Garou""",SR,NM,,,1,,
Français (France),JUSH,JUSH-FR038,K9-LC Libération de Restriction,R,NM,,,1,,
Français (France),JUSH,JUSH-FR038,K9-LC Libération de Restriction,R,NM,,,2,,
Français (France),JUSH,JUSH-FR038,K9-LC Libération de Restriction,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR039,K9-X Libération Forcée,SR,NM,,,3,,
Français (France),JUSH,JUSH-FR039,K9-X Libération Forcée,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR040,"""Une Affaire pour K9""",SR,NM,,,3,,
Français (France),JUSH,JUSH-FR040,"""Une Affaire pour K9""",SR,NM,,,1,,
Français (France),JUSH,JUSH-FR041,K9-EW Expérience de Libération Spéciale,R,NM,,,3,,
Français (France),JUSH,JUSH-FR041,K9-EW Expérience de Libération Spéciale,R,NM,,,2,,
Français (France),JUSH,JUSH-FR042,Booster Habillé,R,NM,,,3,,
Français (France),JUSH,JUSH-FR042,Booster Habillé,R,NM,,,3,,
Français (France),JUSH,JUSH-FR043,Numéro 61 : Volcasaure,R,NM,,,3,,
Français (France),JUSH,JUSH-FR043,Numéro 61 : Volcasaure,R,NM,,,2,,
Français (France),JUSH,JUSH-FR044,Vimana Chronomal,R,NM,,,3,,
Français (France),JUSH,JUSH-FR044,Vimana Chronomal,R,NM,,,3,,
Français (France),JUSH,JUSH-FR045,Princesse Impériale Quinquery,R,NM,,,2,,
Français (France),JUSH,JUSH-FR045,Princesse Impériale Quinquery,R,NM,,,3,,
Français (France),JUSH,JUSH-FR046,Roi des Marais,R,NM,,,3,,
Français (France),JUSH,JUSH-FR047,Le Renoncé aux Yeux Millénaires,R,NM,,,3,,
Français (France),JUSH,JUSH-FR047,Le Renoncé aux Yeux Millénaires,R,NM,,,1,,
Français (France),JUSH,JUSH-FR048,Mouton de Croix,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR048,Mouton de Croix,R,NM,,,2,,
Français (France),JUSH,JUSH-FR048,Mouton de Croix,R,NM,,,1,,
Français (France),JUSH,JUSH-FR049,Chat Lunaire Kinka,R,NM,,,3,,
Français (France),JUSH,JUSH-FR049,Chat Lunaire Kinka,R,NM,,,3,,
Français (France),JUSH,JUSH-FR050,"Béhémoth, Roi des Cent Combats",R,NM,,,2,,
Français (France),JUSH,JUSH-FR050,"Béhémoth, Roi des Cent Combats",R,NM,,,3,,
Français (France),JUSH,JUSH-FR051,Héraut de la Lumière Arc,R,NM,,,3,,
Français (France),JUSH,JUSH-FR051,Héraut de la Lumière Arc,R,NM,,,3,,
Français (France),JUSH,JUSH-FR052,Marcheur Métallique Militaire,R,NM,,,3,,
Français (France),JUSH,JUSH-FR052,Marcheur Métallique Militaire,R,NM,,,1,,
Français (France),JUSH,JUSH-FR053,Assaut de l'Air - Mécha - Drones Frelon,R,NM,,,1,,
Français (France),JUSH,JUSH-FR053,Assaut de l'Air - Mécha - Drones Frelon,R,NM,,,3,,
Français (France),JUSH,JUSH-FR053,Assaut de l'Air - Mécha - Drones Frelon,R,NM,,,3,,
Français (France),JUSH,JUSH-FR054,Surprise à la Main,R,NM,,,2,,
Français (France),JUSH,JUSH-FR054,Surprise à la Main,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR054,Surprise à la Main,R,NM,,,1,,
Français (France),JUSH,JUSH-FR055,Charge Intrépide Violente,R,NM,,,2,,
Français (France),JUSH,JUSH-FR055,Charge Intrépide Violente,R,NM,,,3,,
Français (France),JUSH,JUSH-FR056,Numéro C102 : Séraphin Archdémon,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR056,Numéro C102 : Séraphin Archdémon,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR057,Durandal - Artéfact,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR057,Durandal - Artéfact,R,NM,,,3,,
Français (France),JUSH,JUSH-FR057,Durandal - Artéfact,R,NM,,,2,,
Français (France),JUSH,JUSH-FR058,Numéro 67 : Fracasseur Pairodés,R,NM,,,3,,
Français (France),JUSH,JUSH-FR058,Numéro 67 : Fracasseur Pairodés,R,NM,,,3,,
Français (France),JUSH,JUSH-FR058,Numéro 67 : Fracasseur Pairodés,SR,NM,,,1,,
Français (France),JUSH,JUSH-FR059,Chevalier N.As.H.,R,NM,,,3,,
Français (France),JUSH,JUSH-FR059,Chevalier N.As.H.,R,NM,,,1,,
Français (France),JUSH,JUSH-FR060,Chevalier N.As.Ch. CXyz,R,NM,,,3,,
Français (France),JUSH,JUSH-FR060,Chevalier N.As.Ch. CXyz,R,NM,,,3,,
Anglais (Monde),TKN5,TKN5-EN027,Token,SR,,,NM,1,,
Anglais (Monde),TKN5,TKN5-EN030,Token,SR,NM,,,1,,
Anglais (Monde),TKN5,TKN5-EN031,Token,SR,,,NM,1,,
Français (France),2025,2025-FRP01,"Fracas, le Guerrier Magique",SCRB,,,NM,1,,
Français (France),2025,2025-FRP02,Force de Miroir,SCRB,,,NM,1,,
Anglais (Monde),25LP,25LP-EN000,Exodia the Forbidden One,UB,,,NM,1,,
Anglais (Monde),25LP,25LP-EN001,Diabellstar the Black Witch,UB,,,NM,1,,
Anglais (Monde),25LP,25LP-EN001,Diabellstar the Black Witch,UB,NM,,,1,,
Anglais (Monde),25LP,25LP-EN001,Diabellstar the Black Witch,UB,,,NM,1,,
Anglais (Monde),25LP,25LP-EN001,Diabellstar the Black Witch,SCR,,,NM,2,,
Anglais (Monde),25LP,25LP-EN001,Diabellstar the Black Witch,U,,,NM,1,,
Anglais (Monde),25LP,25LP-EN001,Diabellstar the Black Witch,SCR,NM,,,1,,
Anglais (Monde),25LP,25LP-EN001,Diabellstar the Black Witch,U,,,NM,7,,
Anglais (Monde),25LP,25LP-EN001,Diabellstar the Black Witch,U,NM,,,5,,
